MAG,MG,Coverage
MAG00328,MG_0497RFLQV1,11.286909
MAG00329,MG_0497RFLQV1,35.810814
MAG00330,MG_0497RFLQV1,127.1282
MAG00331,MG_0497RFLQV1,7.984335
MAG00332,MG_0497RFLQV1,68.01501
MAG00333,MG_0497RFLQV1,11.608752
MAG00334,MG_0497RFLQV1,277.63474
MAG00335,MG_0497RFLQV1,2517.2578
MAG00336,MG_0497RFLQV1,192.62044
MAG00337,MG_0497RFLQV1,363.67667
MAG00338,MG_0503RFLQV1,192.87837
MAG00340,MG_0505RFLQV1,340.0813
MAG00341,MG_0505RFLQV1,186.99034
MAG00342,MG_0505RFLQV1,188.30562
MAG00343,MG_0505RFLQV1,1378.2394
MAG00344,MG_0505RFLQV1,193.6846
MAG00345,MG_0509RFLQV1,749.5195
MAG00346,MG_0521RFLQV1,335.27542
MAG00347,MG_0521RFLQV1,15.532209
MAG00348,MG_0521RFLQV1,80.68206
MAG00349,MG_0521RFLQV1,33.376095
MAG00350,MG_0521RFLQV1,18.02264
MAG00351,MG_0521RFLQV1,1254.5125
MAG00352,MG_0521RFLQV1,2412.1628
MAG00353,MG_0521RFLQV1,41.652523
MAG00354,MG_0521RFLQV1,80.80769
MAG00355,MG_0521RFLQV1,15.142009
MAG00356,MG_0521RFLQV1,23.802101
MAG00357,MG_0521RFLQV1,14.205574
MAG00358,MG_0521RFLQV1,46.450893
MAG00359,MG_0521RFLQV1,20.916595
MAG00360,MG_0521RFLQV1,30.450954
MAG00361,MG_0521RFLQV1,19.663963
MAG00362,MG_0521RFLQV1,101.451904
MAG00363,MG_0521RFLQV1,12.891939
MAG00364,MG_0521RFLQV1,329.08237
MAG00365,MG_0521RFLQV1,129.73804
MAG00367,MG_0526RFLQV1,434.65213
MAG00370,MG_0532RFLQV1,641.6069
MAG00371,MG_0533RFLQV1,37.934254
MAG00372,MG_0533RFLQV1,97.9973
MAG00373,MG_0533RFLQV1,169.63531
MAG00374,MG_0533RFLQV1,25.142675
MAG00375,MG_0533RFLQV1,822.55426
MAG00376,MG_0533RFLQV1,331.7363
MAG00378,MG_0537RFLQV1,130.92488
MAG00379,MG_0537RFLQV1,124.097984
MAG00380,MG_0542RFLQV1,50.632786
MAG00381,MG_0542RFLQV1,1880.4508
MAG00382,MG_0545RFLQV1,149.93906
MAG00383,MG_0545RFLQV1,87.29611
MAG00384,MG_0545RFLQV1,75.50885
MAG00385,MG_0545RFLQV1,1532.9805
MAG00386,MG_0545RFLQV1,218.45952
